statementClean,Patricia,Alex,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber,agree,consensusRating
so now on top of killing the fortress im going to kill the mines if theyre opl or let them come to me if they are friends,1,1,681,2,2,223,TRUE,1
well at least i outlasted the foe but i have not managed to hit the fortress once this time,1,1,361,5,15,155,TRUE,1
so if thats true then i should be able to take down the fortress without having to worry about friends or foes,1,1,49,3,3,320,TRUE,1
fortress,0,0,432,5,15,41,TRUE,0
alright just alright fortress give me like one second to regain some control,0,0,790,5,15,111,TRUE,0
theres the fortress click click,0,1,52,5,15,202,FALSE,1
fortress twice,0,1,55,10,20,504,FALSE,1
i had it at 10 but i forgot you had to shoot rapidly twice to damage the fortress,1,1,400,3,13,30,TRUE,1
p im not flopping around as much im actually able to just aim it at the little fortress,0,1,17,2,12,63,FALSE,1
alright destroyed the fortress i have positive points finally i got 310,1,1,372,8,8,99,TRUE,1
is 20 the next to kill the fortress or,1,1,478,5,15,102,TRUE,1
got hit less by fortress but more by the mines,0,0,12,9,19,308,TRUE,0
hit the fortress by accident,1,1,804,8,18,176,TRUE,1
unintelligible fortress just follows you around,0,0,804,4,4,275,TRUE,0
there was just 1 dollar sign and another so i was able to get the full point bonus but i was immediately destroyed by the fortress,0,0,848,10,20,210,TRUE,0
theres the first dollar sign but i was just destroyed by the fortress so now im just spinning around the fortress shooting it waiting for oh there was the second dollar sign,1,1,848,8,8,357,TRUE,1
alrighty come on fortress,0,0,454,3,3,171,TRUE,0
p yeah i know im happy enough killing the fortress,1,1,211,5,15,211,TRUE,1
okay moving toward the fortress this time move forward,0,0,300,1,11,13,TRUE,0
times hit by mines times by the fortress,0,0,55,8,18,394,TRUE,0
1 2 3 4 5 6 7 8 9 10 destroyed the fortress 130 points 1 2 3 4 5 6 7 8 9 10 destroyed the fortress,1,1,372,6,16,197,TRUE,1
destroyed the fortress once,1,1,3,4,14,355,TRUE,1
i want to destroy the fortress,1,1,14,2,12,57,TRUE,1
see the issue with regaining control is that the little computer fortress thingy understands where youre going pretty quickly and they just lay it on you,0,0,604,1,1,417,TRUE,0
dqf are what we are looking for as far as foes go so now the fortress is at 13 i just have not been able to get a double shot yet and there it is,1,1,848,6,6,322,TRUE,1
got the fortress,1,1,46,10,10,622,TRUE,1
aw man ok so t enemy ah i moved too slowly im getting nailed by this the fortress,0,0,404,1,11,408,TRUE,0
i can do this just gotta go really slow and take all these shots at the fortress or not maybe that was a bad idea,1,1,913,10,10,85,TRUE,1
trying to find the balance between dodging the attacks and shooting the fortress,1,1,300,5,5,319,TRUE,1
that is the wrong direction relative to the fortress,0,0,14,3,13,82,TRUE,0
it would help to know if the fortress had unlimited ammo or not cause otherwise i wouldnt know why it be taking so long to hit me,0,0,804,9,9,377,TRUE,0
fortress getting free licks,0,0,804,7,17,163,TRUE,0
oh wow this fortress is killing me faster,0,1,53,1,11,519,FALSE,0
just turn around i keep getting pelted by this fortress,0,1,913,3,3,31,FALSE,0
i have not been as large of a target for the fortress and there have not been as many mines theres only been 3 mines,0,0,848,10,20,213,TRUE,0
okay if i hit the fortress i go backward which is not even a bad strategy at all,1,1,52,3,13,95,TRUE,1
i like a round where im the one where the one in the middle just shooting out missiles and the fortress is trying to get me,0,1,53,2,2,76,FALSE,1
were also trying to hit the fortress,1,1,848,4,4,300,TRUE,1
its really hard to focus on like everything because youre trying to get points but you also are trying to hit the fortress to not get killed,1,1,348,4,14,39,TRUE,1
so if you do this you wrap the screen a bunch but you move so fast the fortress cant get to you until a mine comes,0,0,977,7,17,53,TRUE,0
really getting hit by those enemy fortress missiles theyre pretty hard theyre pretty hard to defeat,0,0,404,3,3,93,TRUE,0
but i have been trying to do that by not going as fast as possible with the speed controls on the joystick were a little sensitive for mumbles the fortress was at 8 points again unfortunately he was destroyed or i was destroyed so he was unable to be destroyed,1,1,848,1,1,234,TRUE,1
fire at the fortress,1,1,14,5,15,190,TRUE,1
i feel like every time i start i run into the fortress and it shoots me like three times and i die,0,0,121,4,14,101,TRUE,0
killed the fortress,1,1,3,2,12,278,TRUE,1
missed all the fortress shots,0,1,3,4,14,358,FALSE,1
okay i destroyed the fortress one so i need to work on doing that again,1,1,44,8,18,320,TRUE,1
the mines move quick though so i have to rotate and accelerate these fortress shots,1,1,44,5,15,97,TRUE,1
hashtag fortress come on,0,0,53,2,2,66,TRUE,0
not get may hit on the fortress,1,0,46,4,4,390,FALSE,1
im just trying to figure out cuz i cant hit the fortress unless i make it vulnerable unless i kill the mine first right if its a friend mine,1,1,49,4,14,121,TRUE,1
got the fortress,1,1,46,6,6,443,TRUE,1
man 50 points a shot from this fortress,0,0,36,10,10,298,TRUE,0
or the fortress if you want me to be elegant about it,0,0,804,8,8,361,TRUE,0
destroy the fortress,1,1,404,2,2,71,TRUE,1
and i was just destroyed by the fortress,0,0,848,2,2,250,TRUE,0
now i can shoot the mother fortress thing if i could turn that would be die,1,1,15,8,8,1160,TRUE,1
not until the fortress,0,0,913,5,5,50,TRUE,0
im going to start shooting the fortress slower,1,1,300,6,16,135,TRUE,1
i dont think the fortress likes me that much but i dont like it either,0,0,804,10,10,407,TRUE,0
p so it takes more than 10 shots to kill the fortress,1,1,18,6,16,21,TRUE,1
if only the fortress could hit the mines that would make this game a little better,0,0,804,7,7,322,TRUE,0
do i have to hit the ship the fortress twice in a row to actually kill it or is it just the ten,1,1,36,2,2,65,TRUE,1
fortress,0,0,679,7,7,160,TRUE,0
owl how many shots does it take to defeat the fortress,1,1,53,5,5,236,TRUE,1
identifying the little things to me send more gratification or whatever satisfaction than destroying the fortress for sure,1,1,685,9,19,418,TRUE,1
i think the fortress likes me that much,0,0,804,4,14,85,TRUE,0
well camera i couldnt beat the fortress but i tried,0,1,49,10,10,519,FALSE,1
so far im just trying to avoid the mines at all cost and the missiles being shot from the fortress but its not working so far as you can see,0,0,586,7,17,254,TRUE,0
since i only mumbles the enemy mine is hzk and im trying to shoot at the fortress but its just really hard,1,1,130,1,11,17,TRUE,1
the fortress was destroyed 0 times,1,1,273,1,1,30,TRUE,1
shot the fortress once,1,1,55,8,18,365,TRUE,1
the space fortress i can double shoot it this time ah,1,1,908,8,18,87,TRUE,1
p i feel like if someone gets really good at this game they have to really focus on something like theyre either gonna take out the mines or destroy the fortress but right now im just trying to destroy the fortress more than once,1,1,2,9,19,79,TRUE,1
i was died by the fortress two times,0,0,55,7,17,317,TRUE,0
needed 462 points destroyed the fortress again,1,1,372,3,13,165,TRUE,1
i didnt realize it took points away when you dont hit the fortress i need to get in a better angle for getting the fortress,1,1,623,2,2,165,TRUE,1
probably got at the space fortress right in there,0,1,6,2,12,177,FALSE,1
p trying to hit the fortress,1,1,50,3,3,32,TRUE,1
okay i need to stop getting hit by the fortress,0,0,51,3,13,635,TRUE,0
fortress dollar sign shy got me,0,0,910,3,3,66,TRUE,0
dont play fortress,0,0,214,9,19,209,TRUE,0
its hard to tell the intervals between the shooting so you know when you can shoot again for the fortress,1,1,348,9,9,181,TRUE,1
its really hard to tell the difference of intervals when youre going to shoo the fortress because you have to look at where youre going but also how fast youre shooting,1,0,348,8,18,88,FALSE,1
destroyed the fortress just trying to get my score to be positive but most likely wont happen in this timespan,1,1,586,7,17,252,TRUE,1
is the fortress gonna shoot me,0,0,804,8,18,171,TRUE,0
so for this game we are going to do what we did last game and stay within the fortress trying to keep shooting the fortress as much as possible but staying at a clockwise,1,1,848,8,18,161,TRUE,1
the fortress just destroyed me,0,0,848,2,2,247,TRUE,0
to destroy the fortress i gotta get some shots,1,1,319,2,12,298,TRUE,1
alright we are almost there to destroy the fortress we are 7 currently,1,1,848,9,9,385,TRUE,1
p the red thing the fortress i guess,0,0,656,7,17,71,TRUE,0
if that didnt hit the fortress then i wouldve been screwed,1,1,804,1,11,26,TRUE,1
theres another mine i got him but i got hit by the space fortress mumbles,0,0,908,7,7,191,TRUE,0
i destroyed the fortress two times,1,1,53,7,17,783,TRUE,1
the fortress killed me before i could kill it which wasnt fun,1,1,3,5,15,391,TRUE,1
can destroy fortress ohh,1,1,319,9,19,422,TRUE,1
kill the fortress,1,1,44,10,10,1179,TRUE,1
keep shooting the fortress keep shooting hit the button,1,1,326,1,11,66,TRUE,1
the mine didnt know you shoot at the fortress,1,1,44,5,5,795,TRUE,1
money sign bonus killed the fortress,1,1,681,NA,NA,327,TRUE,1
shoot the fortress,1,1,326,3,3,21,TRUE,1
got 1 hit on the fortress finally,1,1,848,1,11,11,TRUE,1
shoot the fortress nowdestroyed it,1,1,3,4,14,361,TRUE,1
focus on the fortress,0,1,300,1,1,257,FALSE,1
the vulnerability of the fortress is now at 3,1,1,848,8,18,167,TRUE,1
also dont like the fortress can still shoot at you when there are mines its just too much,0,0,121,9,19,142,TRUE,0
i really hate this fortress so much,0,0,155,6,6,257,TRUE,0
and the fortress,0,0,537,3,13,46,TRUE,0
is it like i think i think camera that every time i hit the hexagon the little hexagon on the side that the thing is pointing that the fortress is pointing like that i get a vulnerability point,0,1,49,6,6,392,FALSE,1
yeah once the fortress shoots at me once it automatically resets,0,0,679,7,7,157,TRUE,0
if this fortress doesnt kill me i might actually be able to defeat it,1,1,404,9,9,341,TRUE,1
money sign h got him money sign bonus killed the fortress,1,1,681,2,12,27,TRUE,1
i was just destroyed by the fortress,0,0,848,1,1,225,TRUE,0
alright i got a little too close there to the fortress,0,0,273,6,6,138,TRUE,0
just hit the fortress,1,1,155,5,15,89,TRUE,1
i keep thinking that my shots are passing through the fortress even though i dont think they actually are i just get that feeling because there is no way i could actually be doing this poorly even though in all reality i am doing this poorly,1,1,558,2,12,85,TRUE,1
its just difficult for me to destroy the fortress,1,1,53,3,13,633,TRUE,1
9 10 thats second fortress down,1,1,825,2,12,334,TRUE,1
perfect we destroyed the fortress once i believe so far,1,1,848,9,9,378,TRUE,1
i hit the fortress one time,1,1,27,9,19,470,TRUE,1
ill end up over shooting the fortress trying to pass by it,1,1,432,2,2,150,TRUE,1
so every time i hit the fortress i lose points too,1,1,49,10,20,254,TRUE,1
fortress now has after i was just killed by it has 3 vulnerability there was just 2 dollar signs in a row so i received 100 bonus points but was immediately shot twice by the fortress,0,1,848,7,17,146,FALSE,1
i got the fortress again,1,1,681,2,2,233,TRUE,1
23 times by the fortress,0,0,679,10,10,205,TRUE,0
p alright ready to take down this fortress,1,1,790,3,13,51,TRUE,1
its the fortress,0,0,46,7,7,504,TRUE,0
i think ive destroyed the fortress like 3 times now so thats a confidence booster,1,1,685,7,7,158,TRUE,1
so with the joystick i could literally kill the fortress i bet,1,1,52,10,20,397,TRUE,1
i havent destroyed a fortress once yet it kinda stinks,1,1,411,4,4,69,TRUE,1
i gotta get that fortress,1,1,49,7,17,150,TRUE,1
shoot the fortressgood,1,1,3,4,14,342,TRUE,1
definitely stop getting hit by the fortress,0,0,404,2,12,476,TRUE,0
the fortress is at 10 now but unfortunately there is a mine,1,1,848,7,7,341,TRUE,1
hit the space fortress first,1,1,804,10,20,211,TRUE,1
my strategy is to move to the ends of the hexagon before shooting the fortress,1,1,300,8,18,192,TRUE,1
the fortress cant keep up but neither can i,0,0,804,4,14,90,TRUE,0
im gonna try shooting the fortress as many times as possible before the mines comes,1,1,3,5,5,78,TRUE,1
so each shot from the fortress that docks like 50 points,1,0,6,3,3,40,FALSE,0
got destroyed by the fortress 6 times okay,0,0,681,1,1,220,TRUE,0
wait a second every time i hit the fortress after it sends a red missile its vulnerability goes up one,1,1,49,1,1,286,TRUE,1
um again theres the fortress,0,1,55,8,18,363,FALSE,0
bonus got the fortress,1,1,681,NA,NA,331,TRUE,1
p ok you destroyed the fortress one time but that was all i needed,1,1,53,9,9,444,TRUE,1
there was just 2 dollar signs in a row but i accidentally clicked on the first one so i was not able to receive that and then was just destroyed by the fortress,0,0,848,1,1,227,TRUE,0
trying to double shot the fortress but its really hard,1,1,3,8,8,158,TRUE,1
the fortress is currently at 8 points wow i just destroyed a friendly mine so it is at 9 points,1,1,848,2,2,260,TRUE,1
i think i killed the fortress once,1,1,217,2,12,12,TRUE,1
alright umm the vulnerability is still at 0 so i cannot attack the fortress,1,1,372,1,1,15,TRUE,1
staying out of the way of the fortress,0,0,44,6,6,859,TRUE,0
i just shot the fortress twice too fast so i dont want the vulnerability to set back to 0 from 3,1,1,848,5,15,103,TRUE,1
if youre shooting in the right direction already it seems better to just like let your ship float a little while untile the ship is facing the fortress instead of getting into a benficial posision,0,1,12,10,20,322,FALSE,1
and every time it restarts the fortress hits you unintelligible,0,0,804,6,6,305,TRUE,0
shot the fortress so everything reset,1,1,3,1,11,259,TRUE,1
164 points vulnerability counter 1 2 3 4 5 4 5 6 6 6 7 8 9 10 destroyed the fortress 27 shots left bonus went there,1,1,372,10,20,239,TRUE,1
and evp oh i was so close to getting that fortress,1,1,818,3,13,363,TRUE,1
i keep running into this fortress,0,0,454,2,2,140,TRUE,0
the fortress almost ready,0,0,46,9,9,567,TRUE,0
p gonna focus on actually just trying to defeat the fortress without worrying about points,1,1,404,5,5,175,TRUE,1
there have been a lot of opportunities where i could have fired at the fortress but i chose not to because i was just trying to level off the ship and its gonna cost me a lot,1,1,586,5,5,85,TRUE,1
gotta get the fortress now,1,1,52,1,1,450,TRUE,1
paying attention to other things other than the core mechanics of the game and actually hitting the fortress cause you die so often you have to capitalize all those shots,1,1,432,8,8,204,TRUE,1
just keep hitting the fortress,1,1,49,3,13,97,TRUE,1
got the fortress,1,1,46,5,5,417,TRUE,1
p okay im trying to get shots on to the main fortress now,1,1,558,2,2,11,TRUE,1
ok another one getting better at killing the fortress,1,1,681,1,1,214,TRUE,1
oh shoot at the fortress,1,1,52,4,4,587,TRUE,1
3 vulnerability 4 5 6 7 oh i died mumbles points 4 5 6 7 8 9 10 destroyed the fortress 300 mumbles points,1,1,372,4,14,176,TRUE,1
you gotta slow down but also avoid the fortress,0,0,44,5,5,809,TRUE,0
p going to keep it slow alright 9 10 that was fairly quick im going to try to go just completely up and down as perfectly vertical as i canworld wrapping this will make it nearly impossible for the fortress to get me and mines to get me,0,1,35,8,8,231,FALSE,1
can shoot after this missileran into the missile but i shot the fortress,1,1,3,9,19,514,TRUE,1
the fortress is so accurate,0,0,8,9,19,281,TRUE,0
but my main goal is to shoo the fortress and if that means i have to go negative shots then i have to go negative shots because i want to get as many points as possible,1,1,685,3,13,278,TRUE,1
its very difficult to target the fortress,0,1,853,1,1,23,FALSE,1
just turn i will not keep running into the fortress,0,0,913,6,6,59,TRUE,0
fire at the fortress,1,1,55,3,13,102,TRUE,1
8 times by mines 15 times by the fortress,0,0,273,1,1,29,TRUE,0
its kind of hard to compensate for the mines when youre driving the ship around getting shot at by the fortress,0,0,681,1,1,203,TRUE,0
the worst part is the mine going around and the red missiles from the fortress,0,0,432,8,18,83,TRUE,0
i cant even shoot at the fortress without shooting a mine,1,1,49,3,13,84,TRUE,1
i had a pretty good thing going last game where i was just going in and out of warp zone but i was managing to actually hit the enemy fortress for once,1,1,404,2,2,79,TRUE,1
now its gonna hit me because this fortress is aiming right at me,0,0,44,7,17,279,TRUE,0
p is there no negative for hitting the fortress,1,1,513,4,14,45,TRUE,1
omg got it and then fortress which is right behind me,1,1,52,8,8,788,TRUE,1
i need to get the fortress then,1,1,16,2,2,173,TRUE,1
much more capable of hitting the fortress its just if the mines were hitting me id score a lot better,1,1,586,5,15,231,TRUE,1
1 2 3 4 5 1 2 3 4 5 6 7 8 9 10 destroyed the fortress mumbles points,1,1,372,7,17,212,TRUE,1
money sign took out the fortress,1,1,681,3,13,56,TRUE,1
i want to destroy the fortress if i could get it,1,1,319,5,15,370,TRUE,1
the fortress itself is so hard to beat,1,1,804,1,1,235,TRUE,1
apparently the fortress is now a he,0,0,604,6,16,255,TRUE,0
fire at the fortress,1,1,55,3,13,103,TRUE,1
destroyed the fortress,1,1,372,4,14,174,TRUE,1
1 2 3 4 5 6 7 8 9 10 destroyed the fortress 268 points,1,1,372,10,20,240,TRUE,1
space fortress is mumbles enemy mine,0,0,319,7,7,175,TRUE,0
4 fortresses,0,0,42,4,14,542,TRUE,0
so im trying to figure with the hit points on the fortress i think its the yellow,0,0,420,1,11,26,TRUE,0
im gonna let it float and hit the fortress if i pass by itim glad that hes missing his shots,1,0,689,3,13,66,FALSE,1
when i get up close to the fortress i like have problems i cant just backup i have to turn and then go forward mumble,0,0,273,2,12,250,TRUE,0
ran into the fortress,0,0,3,6,16,427,TRUE,0
umm away from me and i just destroyed the fortress,1,1,685,4,14,304,TRUE,1
4 5 6 7 8 9 10 alright 14 vulnerability destroyed the fortress 24 points,1,1,372,8,18,217,TRUE,1
and the fortress reset,0,0,825,3,3,108,TRUE,0
okay at least im gunna get at least one fortress destruction before the end of this,1,1,825,3,3,104,TRUE,1
i destroyed the fortress one time thats all i needed,1,1,53,10,10,458,TRUE,1
finally was able to destroy the fortress,1,1,848,4,4,303,TRUE,1
this is im just getting so mad at this fortress all it does is keep hitting me,0,0,121,5,5,44,TRUE,0
alright so this time we are still trying to stay within the fortress,0,0,848,6,16,136,TRUE,0
slowly and steadily increase the damage to the fortress,1,1,586,5,15,227,TRUE,1
shot the fortress,1,1,3,10,10,230,TRUE,1
there are other important things like fast enough where you can dodge the fortress but slow enough to where you can shoot the fortress that middle ground was i back to zero on that one,1,1,432,6,6,184,TRUE,1
p destroy the fortress,1,1,32,2,12,19,TRUE,1
thats my second fortress,1,0,36,1,11,340,FALSE,1
i feel like i cant focus on the main objective which is to get the most points because i just want to kill the fortress because its so hard to do,1,1,121,2,12,95,TRUE,1
p trying to fire at the fortress,1,1,50,1,1,12,TRUE,1
i destroyed the fortress just now so thats good,1,1,685,3,13,284,TRUE,1
alright we are hitting the fortress better this time but i just realized i am at negative shots so those will now have to be used sparingly or until i receive the next bonus,1,1,848,6,6,331,TRUE,1
im wondering since i cant at this point the only way i could avoid cause i mean i have no points to shoot missiles at the fortress so i dont really know what im doing,1,1,679,3,3,79,TRUE,1
im not even worrying about the mines right now because im still trying to get the hang of the controls so im just focusing on killing fortress so once i get that down i can start to work on the mines,1,1,681,1,1,212,TRUE,1
the fortress was at 8 but i shot it too quickly and reset to 0,1,1,848,9,19,201,TRUE,1
most of my damage is coming from the fortress instead of the mine,0,0,12,3,3,429,TRUE,0
i have not destroyed the fortress once yet,1,1,848,3,13,51,TRUE,1
ship was damaged 57 times by the fortress,0,0,54,1,11,22,TRUE,0
alright another fortress destroyed,1,1,818,10,20,574,TRUE,1
alright i just destroyed the fortress so that strategy seems to work,1,1,372,5,5,64,TRUE,1
this whole fortress got me,0,0,46,3,3,348,TRUE,0
ok shoot that fortress,1,1,404,8,18,666,TRUE,1
i feel like this fortress is just jealous,0,0,155,7,17,136,TRUE,0
p if i can destroy the fortress three times id be happy but im not going to and thats ok,1,1,121,10,20,145,TRUE,1
2 well at least the fortress is patient,0,0,804,6,16,129,TRUE,0
so weird trying to stay slow stay within the hexagon and just circle around the fortress it seems to have forgotten how to shoot,0,0,848,6,6,325,TRUE,0
put this in the scrapbook i learned how to kill the fortress so yay now i just gotta slow down because man am i going fast,1,1,604,4,4,512,TRUE,1
shot the fortress twice,1,1,55,8,18,366,TRUE,1
i feel like whenever i get under pressure to shoot the fortress when i think i dont have a lot of shield left or whatever before i blow up i definitely take my hand off the house and fire repeatedly,1,1,685,10,20,443,TRUE,1
and ive noticed that the fortress doesnt shoot until it has you stopped somewhere you know so if you move or if you like mumbling,0,0,214,6,16,153,TRUE,0
3rd fortress destroyed,1,1,818,4,14,421,TRUE,1
i walked into the fortress,0,0,3,2,12,283,TRUE,0
i can destroy the fortress,1,1,44,6,6,892,TRUE,1
still not killing this fortress at all,1,1,604,4,14,179,TRUE,1
3 4 5 6 7 8 9 alright destroyed mine got bonus and destroyed fortress,1,1,372,9,19,226,TRUE,1
my main concern is like shooting the fortress,1,1,57,3,3,880,TRUE,1
even if i started killing more fortresses theres no way id be able to keep track of points and bonuses,1,1,36,7,7,203,TRUE,1
alright well destroyed the fortress once time,1,1,404,8,8,327,TRUE,1
you destroyed the fortress zero times,1,1,54,7,17,229,TRUE,1
p umm going into this one im just uh since i like played the other one i think this one is more like just like trying to keep it steady because you do like because youre just trying to keep it steady and not really just trying not to get hit by the missiles thats being blown out of the fortress which can definitely be hard because if you dont you have to have control of your ship before you can really do anything,0,0,348,5,5,153,TRUE,0
hitting the fortress,1,1,49,1,11,7,TRUE,1
got the fortress,1,1,46,7,7,488,TRUE,1
p i just wanna destriy the fortress once,1,1,20,7,7,638,TRUE,1
gotta destroy the fortress,1,1,44,5,5,785,TRUE,1
i messed up the fortress,1,0,3,3,13,318,FALSE,1
the fortress was destroyed for the first time but then destroyed me,1,1,848,3,3,272,TRUE,1
p yeah i was ship damaged 20 times by the fortress 8 times by mines destroyed 0 fortress i wrapped the screen 47 times,1,1,568,1,1,28,TRUE,1
i dont even know if ive been taking damage that much from the mines ive mostly been taking damage from the fortress but then i can barely hit it,1,1,804,8,8,352,TRUE,1
gonna try to shoot the fortress as many times before another mine comes up,1,1,3,9,9,180,TRUE,1
im about to hit 10 im gonna take this fortress,1,1,586,2,12,180,TRUE,1
so close to destroying the fortress,1,1,411,5,5,76,TRUE,1
i destroyed the fortress finally though so thats not bad i dont think,1,1,685,3,3,69,TRUE,1
p im just trying to stay inside the box and shoot the fortress ive pretty much given up entirely on the mines,1,1,35,2,2,181,TRUE,1
the plan currently is to try and stay within the fortress as best as possible because the control points are very high,0,0,848,10,20,217,TRUE,0
alright i ran into that so the fortress shoots like immediately,0,0,190,1,11,18,TRUE,0
the fortress is now at 8 after shooting 4 shots into it,1,1,848,10,10,398,TRUE,1
as soon as you start the fortress gets hits on you for real like its just restarting up slow,0,0,804,3,3,258,TRUE,0
you know its like a drunk pilot and it got ahold of the starship enterprise and it just decided to space fortress p is a bad mine i think im gonna shoot that and it turns out that it was,1,1,41,1,1,384,TRUE,1
destroying the fortress or whatever its called,1,1,445,1,1,378,TRUE,1
p when theres nothing in the screen i can fore at the fortress,0,1,52,8,18,302,FALSE,1
stupid space fortress,0,0,52,7,7,736,TRUE,0
rotating shooting at the fortress on like a pass,1,1,44,7,7,970,TRUE,1
also this would be a lot harder if you got points off for running into the fortress because ive dont that a lot of times,0,0,121,8,8,67,TRUE,0
p yeah im just trying to stay clockwise and go around the fortress to shoot it and get bonus points and not get hit,1,1,348,10,10,188,TRUE,1
im gonna hit this fortress one time or another,1,1,804,2,12,49,TRUE,1
i can shoot the fortress,1,1,52,5,5,625,TRUE,1
p i killed the fortress again thats good,1,1,348,4,4,148,TRUE,1
every time i fly through so now we can keep doing this and it will remain in the high 400s until we destroy the fortress,1,1,848,9,19,196,TRUE,1
does it give me damage if i hit the fortress like with my actual ship,1,1,53,1,11,524,TRUE,1
its also harder to like double click the shot to hit the fortress too cause i got to like a vulnerability of 13 but i couldnt double click fast enough to,1,1,361,3,13,112,TRUE,1
6 7 8 9 destroyed the fortress 386 points going to vulnerability got the bonus destroyed the mine,1,1,372,5,15,185,TRUE,1
the fortress,0,0,46,7,7,482,TRUE,0
ill start immediately moving because the fortress immediately shoots,0,1,3,9,19,497,FALSE,0
their difficult 100 to 250 milliseconds for the fortress i think,0,1,432,6,16,55,FALSE,1
i gotta try and destroy the fortress 7 dont shoot me dont shoot me,1,1,301,8,18,113,TRUE,1
the fortress has become a big obstacle,0,0,432,7,17,63,TRUE,0
fortress has the fortress is about to be destroyed perfect the fortress was destroyed for the first time this game,1,1,848,7,17,143,TRUE,1
you destroyed the fortress three times,1,1,53,4,14,677,TRUE,1
ohh thats nice now i have to shoot the fortress and i died,1,1,400,3,13,29,TRUE,1
getting out of the path of the fortress,0,0,44,6,6,855,TRUE,0
maybe one of these games i wont get hit by the fortress so quickly,0,0,804,6,6,296,TRUE,0
ran into the fortress and bounced the other way,0,0,3,10,10,201,TRUE,0
p this points at space fortress,0,0,101,8,8,435,TRUE,0
try and shoot the fortress a lot before another mine shows up,1,1,3,1,11,267,TRUE,1
thats not good fortress was at 10 but i accidentally shot a foe mine which became deadly and thus killed me,1,1,848,8,18,175,TRUE,1
only destroyed the fortress once wow,1,1,29,6,6,514,TRUE,1
kinda hard to cancel out the speed and keep getting hit by the fortress because i keep going head on with it,0,0,121,3,3,34,TRUE,0
1 2 3 got bonus 4 5 6 7 8 9 10 destroyed fortress 126 points,1,1,372,7,17,211,TRUE,1
the fortress is shooting,0,0,12,4,14,137,TRUE,0
also dont like that the mines can go over the fortress,0,0,121,8,18,137,TRUE,0
ah mumbles got out of control about to get nailed by the fortress shot,0,0,404,6,6,233,TRUE,0
and i have to restart because the fortress got me,0,0,20,3,3,483,TRUE,0
if you get 100 for shooting the fortress it defeats the purpose of,1,1,432,9,19,98,TRUE,1
and also avoid the fortresss bullets which just shot me again and killed me again,0,0,848,2,2,252,TRUE,0
here we go 8 destroyed fortresses,1,1,42,10,20,842,TRUE,1
i almost died i was taken damages i destroyed the fortress so im sure the next time i get shot by something im gonna blow up,1,1,685,10,10,215,TRUE,1
dont the fortress was at 10 but destroyed me before i was able to destroy it,1,1,848,9,9,387,TRUE,1
off rip from the fortress mumble best as possible if i can,0,0,804,10,10,399,TRUE,0
that was the highest vulnerability i got the castle er fortress to,1,1,586,4,4,70,TRUE,1
what i mean by that is when i was playing with joystick the first time out of all of them the first and only time i defeated the fortress i was like my day is made,1,1,53,7,17,781,TRUE,1
p and i took another hit from a mine im starting to think if i get hit from the fortress just once that im probably going to blow up so thats not a good thing,0,0,586,7,7,115,TRUE,0
also how you can destroy the fortress missiles but theyre bigger than yours anyways,0,1,804,9,9,390,FALSE,1
the vulnerability of the fortress was 11 but i was shot and died,1,1,848,7,17,149,TRUE,1
whys it have to be a fortress,0,0,804,2,12,38,TRUE,0
right now im trying to turn around the fortress as best to my ability and learning the controls a little better,0,0,848,1,1,235,TRUE,0
so when the middle thing explodes im assuming the fortress is done,0,1,217,3,13,20,FALSE,1
gonna get shot by the fortress again,0,0,44,7,7,1003,TRUE,0
every time i get back in the fortress shoots me,0,0,338,1,1,14,TRUE,0
the fact that the fortress is shooting at me probably makes me think its a he,0,0,53,6,16,742,TRUE,0
the farther away from the fortress i can try avoiding its attacks,0,0,300,10,20,224,TRUE,0
alright right now we are staying within the borders of the uh fortress in order to try and boost our control points before we we were at 9 vulnerability points and the fortress destroyed us,1,1,848,8,8,354,TRUE,1
p ok my question is i might just not umm been hitting the enemy fortress but once i got to ten i was trying to hit it with two shots and uh it seemed to be going right through it,1,1,404,5,5,192,TRUE,1
second fortress destroyed in one life and i die immediately die,1,1,818,3,13,381,TRUE,1
the fortress shoots immediately so its bad to stay still at the beginning,0,0,400,10,20,99,TRUE,0
fortress,0,0,52,9,9,797,TRUE,0
i need to still be shooting at the fortress,1,1,623,4,4,197,TRUE,1
oh the fortress cant keep up thats always nice,0,0,804,3,13,74,TRUE,0
doesnt help the fortress gets free shots,0,0,804,6,16,138,TRUE,0
and thats the thing i feel like the fortress has more power cause i dont really attempt to kill the mines,0,0,679,8,8,172,TRUE,0
i want to destroy the fortress if i ever can,1,1,569,4,14,54,TRUE,1
its difficult to juts stay in the hexagon when youre moving and trying to shoot at the fortress too,1,1,54,3,13,59,TRUE,1
you also get no satisfaction destroying the fortress you know in that pinball game or with cards they give you a firework show i would like a firework show cuz that was pretty hard,1,1,121,7,7,59,TRUE,1
okay well after at least 12 trials i managed to take care of the fortress,1,1,586,2,12,184,TRUE,1
wait so will it only will the fortress only start breaking when im in the hexagon and shooting or,1,0,618,2,12,25,FALSE,1
fortress once,0,0,55,10,20,503,TRUE,0
ill just try shooting the fortress as much before the mines come,1,1,3,4,4,63,TRUE,1
okay so there i killed the mine killed the fortress and got the money sign bonus,1,1,681,5,5,278,TRUE,1
alright ill try to at least destroy the fortress at least once if i hit it,1,1,804,4,4,272,TRUE,1
