statementClean,Patricia,Alex,Participant_ID,gameNumber,cumulativeGameNumber,lineNumber,agree,consensusRating
second bonus,1,1,34,1,11,527,TRUE,1
56 bonus,1,1,301,5,5,181,TRUE,1
thats 2 dollar signs bonus,1,1,52,4,4,598,TRUE,1
just missed the bonus,1,1,46,7,7,496,TRUE,1
yeah i didnt get any bonus,1,1,55,9,9,993,TRUE,1
think that was bonus points,1,1,30,10,20,1151,TRUE,1
bonus,1,1,1,2,2,74,TRUE,1
p got the bonus points again,1,1,45,4,14,169,TRUE,1
bonus points,1,1,24,6,6,134,TRUE,1
bonus,1,1,56,8,18,598,TRUE,1
bonus missiles,1,1,50,10,20,461,TRUE,1
theres a bonus sign there i dont even remember what that means but its fine,1,1,445,1,11,18,TRUE,1
haha just going in circles now bonus one bonus two,1,1,301,1,1,153,TRUE,1
another bonus opportunity,1,1,50,10,20,446,TRUE,1
second money sign bonus in points okay,1,1,34,9,9,411,TRUE,1
i accidently got that bonus,1,1,647,1,1,152,TRUE,1
bonus,1,1,1,10,20,776,TRUE,1
oh yay bonus,1,1,53,3,3,131,TRUE,1
i dont understand why im not getting bonus when im literally doing it,1,1,101,2,2,382,TRUE,1
i know i missed a bonus probably,1,1,33,8,18,314,TRUE,1
theres a bonus,1,1,537,3,13,57,TRUE,1
i keep missing the bonus point too,1,1,11,8,18,730,TRUE,1
bonus,1,1,27,9,9,175,TRUE,1
got the bonus,1,1,54,3,3,341,TRUE,1
bonus points,1,1,33,9,9,836,TRUE,1
point bonus,1,1,210,5,15,291,TRUE,1
oh bonus,1,1,27,10,20,480,TRUE,1
p bonus one foe dollar two bonus,1,1,22,5,5,170,TRUE,1
point bonus 2 ah,1,1,210,7,17,337,TRUE,1
ok 1 2 darn it darn it 3 get the bonus 4 5 come on 6 7 8 9 damn it,1,1,210,2,12,212,TRUE,1
1 2 3 got the bonus 4 5 6 6 7 8 9 10 alright now im at 440,1,1,372,8,8,101,TRUE,1
got the bonus this time,1,1,46,2,12,35,TRUE,1
ok got the bonus 2 3 ah moving too slowly o i think thats friendly yeah thats a friendly,1,1,404,4,14,524,TRUE,1
a few bonuses,1,1,848,5,5,315,TRUE,1
p im pretty sure i just missed the bonus oh wait no i did not,1,1,558,3,13,92,TRUE,1
bonus,1,1,6,5,15,249,TRUE,1
b interval good hit ah theres the first bonus sign not hit it yet try to get the bonus,1,1,404,6,16,592,TRUE,1
p i got the bonus though go that way,1,1,455,1,1,179,TRUE,1
theres a bonus and i collected points because i have 90 shots,1,1,3,10,10,202,TRUE,1
get the bonus,1,1,51,3,13,578,TRUE,1
p think i just need to get the bonus points whenever i can,1,1,17,7,7,42,TRUE,1
bonus did you see that,1,1,101,6,16,245,TRUE,1
bonus,1,1,1,10,20,781,TRUE,1
bonus points,1,1,6,2,2,24,TRUE,1
i dont really know if i got the bonus,1,1,623,2,2,169,TRUE,1
maybe i can get a bonus before the game ends possibly,1,1,44,10,20,449,TRUE,1
so thats a bonus 1 9 no i dont okay,1,1,825,5,15,402,TRUE,1
im getting my bonuses and shooting and turning left and okay nah and its kinda difficult to figure out,1,1,19,5,5,116,TRUE,1
1 2 3 bonus,1,1,29,5,5,466,TRUE,1
diamond i completely forgot i blanked out i dont know what the letters are there was an h in there though and i missed the bonus something along those lines,1,1,853,10,20,467,TRUE,1
friendly mine 1 bonus points 2 3 4 thats a 4,1,1,910,10,10,254,TRUE,1
oh i got a bonus,1,1,15,9,19,563,TRUE,1
that was supposed to be a bonus,1,1,55,6,6,815,TRUE,1
p okay dollar sign lets see if its double yup bonus missiles,1,1,50,6,6,59,TRUE,1
okay i managed to get the bonus there havent been paying too much attention to that,1,1,681,3,3,248,TRUE,1
p dollar one dollar two bonus,1,1,22,5,5,156,TRUE,1
just got another bonus,1,1,338,10,20,349,TRUE,1
okay i got a bonus i think,1,1,976,4,4,61,TRUE,1
p bonus get some shots,1,1,19,6,16,47,TRUE,1
yes i got the bonus,1,1,338,10,20,339,TRUE,1
no bonus,1,1,537,4,14,72,TRUE,1
bonus,1,1,56,3,13,327,TRUE,1
good i got a bonus thats a plus,1,1,44,4,14,75,TRUE,1
got the bonus and 46 points,1,1,372,1,11,133,TRUE,1
bonus points,1,1,319,8,8,201,TRUE,1
p got that bonus,1,1,537,9,19,172,TRUE,1
alright we are hitting the fortress better this time but i just realized i am at negative shots so those will now have to be used sparingly or until i receive the next bonus,1,1,848,6,6,331,TRUE,1
got the bonus for the first time in a while,1,1,46,7,17,157,TRUE,1
this is i really wonder if ummm i think thats a bonus,1,1,57,5,15,335,TRUE,1
b bad i think my interval is too high i didnt know what to do with the bonus i chose points i have 60 bullets first dollar sign,1,1,130,7,7,351,TRUE,1
i thought that was the first time it was the second but however my vulnerability is at 5 jmn thats l so first dollar sign and then if i can somehow manage to jmn so l good mine first dollar sign and then second one 71 shots next bonus gets,1,1,130,4,4,291,TRUE,1
h is a foe 190 bonus,1,1,929,9,9,111,TRUE,1
not worried about bonuses right now,1,1,28,3,3,132,TRUE,1
1 sign i havent had the bonus in a while,1,1,20,10,10,813,TRUE,1
this is the key to it going slow like they say in the video that mine is bad just threw me for a loop okay really slow down i should have taken the bonus shots,1,1,41,5,15,166,TRUE,1
you know i hit the bonus missiles but they didnt do much,1,1,53,3,3,99,TRUE,1
p theres the second one so i got the bonus points,1,1,45,5,15,178,TRUE,1
alright well it gets okay another bonus,1,1,348,6,16,62,TRUE,1
second dollar sign ill take the bonus points,1,1,14,8,18,310,TRUE,1
okay bonus shots,1,1,825,7,17,427,TRUE,1
p bonus points maybe,1,1,50,8,8,99,TRUE,1
bonus,1,1,53,8,8,354,TRUE,1
oh bonus,1,1,23,1,11,26,TRUE,1
i got bonus points,1,1,4,7,17,115,TRUE,1
my bonus,1,1,14,1,1,476,TRUE,1
i just got the bonus,1,1,565,4,4,19,TRUE,1
bonus,1,1,27,6,6,108,TRUE,1
bonus,1,1,27,2,12,240,TRUE,1
5 6 7 8 i find it hard to tell if its a friend or an enemy looking down definitely distracts you second dollar sign with the bonus,1,1,647,6,6,214,TRUE,1
money sign bonus got this fortress,1,1,681,9,19,166,TRUE,1
dollar sign thats two bonus ugh yea keep it up with the mumbles,1,1,739,5,15,154,TRUE,1
theres just another dollar sign so i got the bonus,1,1,848,1,11,12,TRUE,1
im kind of going for the bonus points now because i dont really see a problem with the shots,1,1,348,7,17,71,TRUE,1
bonus points,1,1,33,8,8,771,TRUE,1
p got my bonus shots,1,1,19,4,4,112,TRUE,1
bonus,1,1,1,10,10,413,TRUE,1
yeah no sense of control which sounds about right but my bonuses are on point,1,1,604,6,16,276,TRUE,1
ooh bonus,1,1,361,9,19,223,TRUE,1
money sign bonus killed the fortress,1,1,681,NA,NA,323,TRUE,1
p bonus points over missiles,1,1,17,6,16,76,TRUE,1
bonus,1,1,473,7,7,292,TRUE,1
maybe i can get a bonus if i dont die,1,1,44,9,19,380,TRUE,1
i did not get that bonus,1,1,338,8,8,158,TRUE,1
p thats one thats the bonus,1,1,22,6,16,53,TRUE,1
got my bonus shots im at 8 for the vulnerability now,1,1,19,5,5,121,TRUE,1
another dollar sign bonus points,1,1,57,7,17,463,TRUE,1
bonus,1,1,57,2,2,820,TRUE,1
why am i not getting a bonus,1,1,54,8,8,426,TRUE,1
thats the first bonus symbol moving all the way around g friendly got the bonus,1,1,404,10,20,795,TRUE,1
aw man i did the bonus i missed those,1,1,130,3,3,279,TRUE,1
bonus points,1,1,14,5,15,196,TRUE,1
bonus okay,1,1,445,4,4,493,TRUE,1
still not thinking about the bonus points or the missiles,1,1,24,2,2,70,TRUE,1
p got my bonus points that time,1,1,19,2,2,96,TRUE,1
theres my bonus,1,1,49,3,13,80,TRUE,1
collected my bonus,1,1,55,8,18,370,TRUE,1
im going to not worry about the bonuses right now because theres way too much happening now mumbles,1,1,36,1,1,10,TRUE,1
and bonus,1,1,28,8,18,814,TRUE,1
no that ones not bonus,1,1,27,10,20,493,TRUE,1
p got the bonus points for two dollar signs,1,1,45,4,14,165,TRUE,1
percent ugh sixth trial dollar sign i accidently clicked left click so im not getting bonus,1,1,853,6,16,402,TRUE,1
money sign bonus,1,1,681,5,15,90,TRUE,1
p im supposed to point those out see if im paying attention for bonus points,1,1,41,9,19,290,TRUE,1
the only thing im doing well at is getting bonuses,1,1,445,5,15,168,TRUE,1
there was just 2 dollar signs in a row so i was able to receive a 100 point bonus,1,1,848,8,18,174,TRUE,1
p pay attention to the bonuses stay in control and be prepared cuz ill be shot at immediately,1,1,1,5,15,575,TRUE,1
p get more bonus points im at 3 vulnerability 4,1,1,19,3,13,30,TRUE,1
okay got the bonus,1,1,48,3,3,128,TRUE,1
awe nothing that was the second bonus,1,1,8,4,14,111,TRUE,1
bonus bonuses,1,1,301,3,3,164,TRUE,1
where is the bonus,1,1,54,10,10,464,TRUE,1
theres 2 bonus,1,1,681,5,5,269,TRUE,1
thats a bonus but i failed it,1,1,30,1,11,646,TRUE,1
bonus,1,1,34,9,19,1340,TRUE,1
bonus bonus,1,1,50,5,15,282,TRUE,1
bonus,1,1,57,4,14,271,TRUE,1
another bonus,1,1,46,3,3,351,TRUE,1
ooh bonus,1,1,56,1,11,205,TRUE,1
okay missed the bonus,1,1,50,2,12,174,TRUE,1
second money sign okay bonus in points,1,1,34,10,10,486,TRUE,1
bonus here we go,1,1,28,10,10,441,TRUE,1
bonus,1,1,56,7,17,549,TRUE,1
yeah get the bonus,1,1,44,2,2,519,TRUE,1
thats my bonus time,1,1,44,6,6,908,TRUE,1
bonus,1,1,44,7,17,245,TRUE,1
oh i got a bonus sweet,1,1,15,3,13,177,TRUE,1
when i get close to ok i got a bonus but i died,1,1,273,2,12,249,TRUE,1
alright got a bonus i got bonus um points,1,1,273,9,19,384,TRUE,1
so to get the bonus the points is mouse left,1,1,54,5,15,107,TRUE,1
thats no bonus,1,1,825,3,13,350,TRUE,1
ah i shouldve got the bonus i missed it,1,1,190,8,18,110,TRUE,1
just trying to stay inside of the thing nope misidentified the bonus so that just screwed me over right now cause i need bullets,1,1,685,3,13,282,TRUE,1
dollar sign again bonus,1,1,55,4,14,132,TRUE,1
bonus,1,1,27,4,14,290,TRUE,1
i think thats the bonus,1,1,11,8,18,714,TRUE,1
no thats not a bonus,1,1,36,7,17,569,TRUE,1
i just want to start going to bonus,1,1,34,7,7,332,TRUE,1
bonus,1,1,55,8,18,369,TRUE,1
p friend ah bonus,1,1,22,2,2,120,TRUE,1
bonus points,1,1,41,4,4,461,TRUE,1
theres 2 thats a bonus,1,1,825,7,7,210,TRUE,1
bonus points,1,1,14,7,17,254,TRUE,1
p bonus,1,1,22,6,6,181,TRUE,1
but now like i said before i am forgetting about the bonuses,1,1,411,2,12,179,TRUE,1
gonna need that bonus for extra missiles first dollar sign,1,1,130,2,2,255,TRUE,1
maybe i can get a bonus,1,1,44,1,1,462,TRUE,1
i cant remember i cant remember how i get more besides the bonus,1,1,273,5,15,304,TRUE,1
6 7 8 9 10 bonus points and i kill you 1 2 3 4 5 6 i mean 7 8 9 10 oh,1,1,825,2,12,341,TRUE,1
and collected 100 bonus points,1,1,848,4,4,294,TRUE,1
first bonus symbol second one get the bonus z friendly,1,1,404,7,17,621,TRUE,1
theres the other click the bonus,1,1,604,1,1,406,TRUE,1
bonus points,1,1,130,5,5,311,TRUE,1
also helps to balance out all the mines and stuff and it keeps me close to where the bonuses are,1,1,411,10,10,146,TRUE,1
you only get bonuses with the dollar signs,1,1,604,2,12,45,TRUE,1
bonus,1,1,14,3,3,545,TRUE,1
get the bonus,1,1,51,3,13,579,TRUE,1
its a lot easier to focus on the bonuses once i get a hang of the controls,1,1,338,9,19,331,TRUE,1
if i focus on trying to steer the fortress then try to implement the bonus and mines once i get the hang of this,1,1,432,2,2,143,TRUE,1
mumbling theres the first bonus sign oh gosh what was i doing i was at 12 before i even noticed,1,1,404,3,13,495,TRUE,1
where is the bonus,1,1,54,9,9,446,TRUE,1
there was a dollar sign but itook the bonus you know how i do vulnerability 4 lets try not to lose this opportunity too quickly which yea just did alright,1,1,604,9,19,356,TRUE,1
collect the bonusmissed the bonus because i died,1,1,3,10,20,532,TRUE,1
bonus yes shoot,1,1,301,8,8,211,TRUE,1
i got a percent sign lets try the dollar sign after this to mumble bonus,1,1,273,7,7,149,TRUE,1
oh there goes a bonus didnt pay attention,1,1,804,9,9,389,TRUE,1
got that bonus,1,1,908,4,4,164,TRUE,1
fire at the thing fire at the thing fire at the thing bonus points,1,1,52,7,7,733,TRUE,1
okay so i got a bonus,1,1,445,1,1,390,TRUE,1
now get the bonus,1,1,44,6,16,178,TRUE,1
i think thats the first bonus,1,1,8,8,18,241,TRUE,1
i got a bonus,1,1,273,4,4,87,TRUE,1
bonus,1,1,56,2,12,293,TRUE,1
no bonus and i cant destroy the fortress while the mines are onscreen so wish i could shoot the mines,1,1,44,8,18,344,TRUE,1
p well didnt get the bonuses that time,1,1,809,2,12,37,TRUE,1
i dont know if this is my first bonus or not so im going to say its my first,1,1,34,1,1,47,TRUE,1
i wish id gotten more bonus points too,1,1,44,7,17,268,TRUE,1
negative 39 there were five bonus options but i did not see them,1,1,3,3,3,60,TRUE,1
any bonus points,1,1,29,9,19,263,TRUE,1
1 2 3 4 first bonus sign 5 6 7 8 9 10 double tap,1,1,910,1,11,277,TRUE,1
got the bonus,1,1,46,8,18,201,TRUE,1
i feel like im only really good at getting the bonuses,1,1,913,8,18,154,TRUE,1
1 2 3 4 bonus,1,1,372,10,10,120,TRUE,1
another bonus,1,1,46,2,12,39,TRUE,1
1 bonus i missed the oyher one,1,1,301,10,20,143,TRUE,1
and another dollar sign so i got the bonus,1,1,348,10,20,107,TRUE,1
im honestly not even worried about bonuses at this point if i see it,1,1,404,6,6,231,TRUE,1
yeah bonus points,1,1,4,7,17,102,TRUE,1
bonus,1,1,28,4,4,183,TRUE,1
p get my bonus points,1,1,19,3,3,100,TRUE,1
okay bonus,1,1,50,4,14,256,TRUE,1
i actually lose focus on getting bonuses though which is bad,1,1,411,1,11,168,TRUE,1
i think i run out of missles but i dont get bonus missles,1,1,853,4,14,370,TRUE,1
only getting bonus points cuz the games about to be over,1,1,8,5,15,164,TRUE,1
oh right click bonus points,1,1,52,4,14,157,TRUE,1
bonus points,1,1,51,2,12,529,TRUE,1
one thing im noticing is im not taking any like bonus points here so theres another thing im noticing,1,1,155,9,19,163,TRUE,1
second one bonus,1,1,27,10,10,199,TRUE,1
i need another bonus,1,1,34,8,18,1244,TRUE,1
i think thats bonus,1,1,11,10,10,409,TRUE,1
1 dollar sign bonus,1,1,910,3,3,76,TRUE,1
inaudible bonus,1,1,27,6,6,101,TRUE,1
i see one a bonus one,1,1,3,2,2,39,TRUE,1
bonus,1,1,56,3,13,350,TRUE,1
bonus,1,1,56,5,15,416,TRUE,1
bonus,1,1,23,10,10,227,TRUE,1
bonus still applies after death i think,1,1,44,9,19,383,TRUE,1
need a bonus,1,1,54,5,15,146,TRUE,1
so we got that point bonus already,1,1,34,2,12,594,TRUE,1
get a bonus for the next one pop up,1,1,44,4,14,86,TRUE,1
important to receive my bonus and there it is,1,1,20,9,19,260,TRUE,1
other bonus sign is gonnaoh man,1,1,130,7,17,153,TRUE,1
i got a bonus,1,1,853,4,4,86,TRUE,1
three four bonus points,1,1,33,10,20,373,TRUE,1
two bonus,1,1,54,9,9,448,TRUE,1
bonus,1,1,34,1,11,552,TRUE,1
got the bonus,1,1,46,10,10,608,TRUE,1
bonus,1,1,30,7,17,972,TRUE,1
bonus points,1,1,6,6,6,92,TRUE,1
p get me some bonus points,1,1,19,3,13,27,TRUE,1
i lost my bonus yes i lost my bonus its fine,1,1,301,10,20,137,TRUE,1
i wanted the bonus points,1,1,14,8,18,304,TRUE,1
6 7 bonus points shots,1,1,41,5,5,490,TRUE,1
theres no bonus available if its an sign,1,1,3,6,6,106,TRUE,1
hit it too soon no bonus points for me,1,1,604,5,15,213,TRUE,1
bonus,1,1,55,6,6,810,TRUE,1
going to have to get a bonus,1,1,27,5,15,323,TRUE,1
points i got bonus of points,1,1,853,5,5,109,TRUE,1
p bonus sign no bonus,1,1,22,3,13,25,TRUE,1
bonus missiles,1,1,50,6,16,315,TRUE,1
i got a bonus of points thats what i want the most right now,1,1,853,6,6,145,TRUE,1
just got my bonus points my bonus shots now im moving kinda fast i dont know what im shooting right now,1,1,19,5,5,119,TRUE,1
i need to get some bonus points because im failing hard,1,1,301,9,19,130,TRUE,1
p bonus,1,1,22,1,11,6,TRUE,1
p still shooting aimlessly missed the bonus i messed it up,1,1,19,9,9,159,TRUE,1
actually get some bonus this time,1,1,49,8,18,189,TRUE,1
isnt it mumble that the bonus signs are initialed by dollar signs,1,1,804,8,8,366,TRUE,1
im getting good at getting bonuses,1,1,361,10,10,69,TRUE,1
clicked too early didnt get the bonus,1,1,338,9,19,334,TRUE,1
bonus,1,1,210,6,6,85,TRUE,1
yeah i entirely and totally give up on the bonuses because theres no chance im ever gonna be able to pay attention to that and this game,1,1,36,4,4,116,TRUE,1
get the bonus,1,1,44,8,8,1028,TRUE,1
i almost had it too i was at 9 so depressing ok just do the bonus mumbling,1,1,404,3,13,502,TRUE,1
trying to get up on the bonuses because i die before i can even do anything,1,1,36,2,2,51,TRUE,1
money sign money sign bonus i pressed it,1,1,301,8,8,213,TRUE,1
its a first dollar sign so i didnt get the bonus,1,1,46,8,18,190,TRUE,1
bonus coming up get some points,1,1,210,9,19,393,TRUE,1
bonus,1,1,56,10,20,697,TRUE,1
1 2 3 4 5 6 7 6 7 8 9 bonus points,1,1,825,4,14,378,TRUE,1
there were just 2 dollar signs so bonus pots,1,1,848,7,7,344,TRUE,1
bonus point,1,1,6,7,7,106,TRUE,1
bonus points,1,1,910,6,6,139,TRUE,1
bonus points,1,1,50,1,11,149,TRUE,1
possibly get a bonus,1,1,44,7,17,277,TRUE,1
ah theres the first bonus sign second one i got points this time,1,1,404,8,18,654,TRUE,1
bonus 1,1,1,910,5,5,126,TRUE,1
oh bonus,1,1,34,3,13,694,TRUE,1
oh the dollar sign pay attention to the bonus,1,1,44,6,16,144,TRUE,1
dude im not even trying to go for bonus points right now,1,1,49,9,9,473,TRUE,1
money sign money sign bonus,1,1,681,3,13,42,TRUE,1
its not a bonus,1,1,46,10,20,269,TRUE,1
p messed up the bonus,1,1,19,2,12,22,TRUE,1
trying to get out of the way of the shooting there was just 2 dollar signs i was able to pick up the bonus but was right after shot by the whats it called fortress,1,1,848,3,3,286,TRUE,1
and i got bonus missiles,1,1,50,8,18,387,TRUE,1
next bonus,1,1,130,8,8,372,TRUE,1
p okay i got a bonus thats good kay im gonna try tono i was trying to shoot and my control score is really low,1,1,44,4,14,83,TRUE,1
umm its still i think the hardest thing is identifying the bonuses cuz you have so much on the screen,1,1,685,7,7,159,TRUE,1
okay bonus,1,1,34,1,11,513,TRUE,1
ah theres the first first sign thats a friendly there we go i got the bonus,1,1,404,6,16,586,TRUE,1
got the bonus,1,1,46,4,4,392,TRUE,1
i couldve gotten that bonus but i clicked too early,1,1,338,9,19,333,TRUE,1
p oh i messed up the bonus points,1,1,19,10,20,81,TRUE,1
and thats the bonus,1,1,6,3,3,38,TRUE,1
i accidentally got the bonus without meaning to,1,1,52,5,15,213,TRUE,1
there it is bonus,1,1,681,2,12,34,TRUE,1
no bonus,1,1,210,7,7,110,TRUE,1
i should have gotten that bonus,1,1,15,7,17,428,TRUE,1
bonus,1,1,34,7,17,1165,TRUE,1
its the only way to get points is the bonus,1,1,57,2,12,125,TRUE,1
there is one dollar sign already in this round and 2 so i will collect a bonus of 100 points,1,1,848,10,20,208,TRUE,1
bonus lets take shots lets take shots,1,1,41,7,17,232,TRUE,1
trying to get bonus,1,1,273,6,16,321,TRUE,1
bonus,1,1,1,5,5,189,TRUE,1
its the first time for bonus uninterp,1,1,44,2,2,566,TRUE,1
bonus,1,1,55,7,7,892,TRUE,1
money sign bonus,1,1,681,4,14,63,TRUE,1
but my main goal is im not too worried about the bonuses until i get down in like the lower shot range and then im trying to do the bullets instead of the points when i do notice it,1,1,685,3,13,277,TRUE,1
i have not received a single bonus point yet,1,1,825,3,3,121,TRUE,1
so the bonus takes some time to show up the second one so im jumping on that,1,1,6,4,4,53,TRUE,1
i think im gonna get bonus points,1,1,8,5,15,163,TRUE,1
oh man first dollar sign just trying to stay inside this oh wait the second bonus but,1,1,130,5,15,103,TRUE,1
bonus time bonus time,1,1,210,6,6,75,TRUE,1
bonus nice,1,1,52,4,4,582,TRUE,1
oh got a bonus,1,1,28,2,2,107,TRUE,1
bonus points,1,1,50,5,15,287,TRUE,1
i just want to stop flying everywhere oh i got a bonus,1,1,455,5,15,79,TRUE,1
got the bonus,1,1,46,2,2,318,TRUE,1
bonus bonus bonus,1,1,210,8,8,127,TRUE,1
bonus,1,1,57,6,6,1128,TRUE,1
p no bonus,1,1,22,7,7,195,TRUE,1
is that a bonus,1,1,210,10,20,437,TRUE,1
oh bonus,1,1,15,6,16,367,TRUE,1
bonus,1,1,537,4,14,71,TRUE,1
bonus,1,1,56,3,13,326,TRUE,1
m ah man that screen wrap wasnt worth it i didnt even get the bonus i was too focused,1,1,404,10,20,808,TRUE,1
i got a bonus though so thats improvement,1,1,15,1,11,70,TRUE,1
two bonuses thats a bad mine got it killed it,1,1,41,6,16,192,TRUE,1
this might be a bonus,1,1,50,7,17,343,TRUE,1
i think h okay now i missed a bonus,1,1,825,2,12,337,TRUE,1
p the second one so i get the bonus points,1,1,45,2,12,138,TRUE,1
bonus 100 shots look at that,1,1,101,9,19,314,TRUE,1
there we go i just got a bonus g thats enemy,1,1,404,10,10,371,TRUE,1
dollar symbol bonus,1,1,55,9,19,412,TRUE,1
okay that was the bonus,1,1,56,7,17,542,TRUE,1
bonus,1,1,4,7,7,344,TRUE,1
not the bonus,1,1,46,8,8,540,TRUE,1
maybe ill get a bonus,1,1,44,1,1,477,TRUE,1
bonus points,1,1,41,10,20,333,TRUE,1
at least i got a bonus,1,1,15,6,6,1041,TRUE,1
bonus,1,1,55,6,6,837,TRUE,1
p i got bonus points,1,1,45,9,9,101,TRUE,1
ah theres the ah man i think i missed the bonus i dont know i got too caught up,1,1,404,6,16,591,TRUE,1
awe man i missed the bonus,1,1,8,8,18,239,TRUE,1
missle bonus 3 i had 5 opportunities,1,1,52,3,13,123,TRUE,1
bonus points nice,1,1,52,7,7,737,TRUE,1
bonus,1,1,155,9,9,289,TRUE,1
already get a bonus because these missiles arent good for nothing,1,1,57,5,15,303,TRUE,1
bonus double shot,1,1,681,4,14,70,TRUE,1
so now the bonus,1,1,46,4,4,400,TRUE,1
i keep messing up the bonus,1,1,6,8,18,281,TRUE,1
that one is ooh got a bonus,1,1,361,5,15,154,TRUE,1
oh ah bonus,1,1,33,6,16,222,TRUE,1
five bonus opportunities and 1443,1,1,1,4,14,573,TRUE,1
bonus,1,1,54,8,8,433,TRUE,1
money sign money sign bonus,1,1,681,3,13,51,TRUE,1
now i can get the bonus,1,1,301,9,9,221,TRUE,1
i can get a bonus,1,1,44,2,2,506,TRUE,1
bonus sign,1,1,32,2,12,56,TRUE,1
two dollar signs bonus thats h i got that i dont know how i got that but thats two ships,1,1,825,1,11,313,TRUE,1
alright umm no no no okay just gotta ive still yet to get any bonus points or anything,1,1,685,1,1,19,TRUE,1
the bonus,1,1,46,10,20,253,TRUE,1
bonus,1,1,28,7,17,786,TRUE,1
no bonus,1,1,273,1,11,230,TRUE,1
i got bonus shots,1,1,273,8,18,355,TRUE,1
bonus should have got missiles,1,1,14,4,4,607,TRUE,1
thats unfriendly i missed the bonus,1,1,3,6,16,431,TRUE,1
okay alright a bonus i cant do two things at once with my handsalright i did a little bit better than last time,1,1,338,9,9,193,TRUE,1
p yeah okay so just trying to focus on okay alright theres double wow ok i finally got a bonus,1,1,348,5,15,43,TRUE,1
money sign bonus,1,1,681,9,19,159,TRUE,1
is that the second one ah its not the second one and i clicked it ah i cant get the bonus,1,1,113,4,4,399,TRUE,1
i get bonus,1,1,44,10,20,437,TRUE,1
p trying to keep track of the dollar signs the bonuses,1,1,432,6,16,50,TRUE,1
bonus,1,1,420,10,20,267,TRUE,1
that was the bonus okay move forward take the bonus shots,1,1,41,1,1,370,TRUE,1
okay i get a bonus,1,1,273,4,4,91,TRUE,1
got bonus,1,1,372,7,17,206,TRUE,1
bonus 1 2 3 3,1,1,372,10,10,128,TRUE,1
alright bonus points left missiles,1,1,16,1,1,4,TRUE,1
bonus,1,1,36,7,17,555,TRUE,1
click the button for bonus,1,1,468,5,15,311,TRUE,1
oh bonus,1,1,56,7,17,516,TRUE,1
p the first dollar sign thats an enemy theres the second one so i get the bonus points,1,1,45,7,17,191,TRUE,1
dollar sign bonus,1,1,55,4,14,138,TRUE,1
i got a friend energized and i got the bonus,1,1,804,10,10,413,TRUE,1
oh bonus,1,1,908,3,3,145,TRUE,1
bonus,1,1,36,6,16,534,TRUE,1
theres not a bonus,1,1,46,1,1,290,TRUE,1
its not a bonus,1,1,46,7,7,476,TRUE,1
theres the first bonus sign intervals are pretty hard to get,1,1,404,5,15,565,TRUE,1
now bonus now the mine is gone too for a split second,1,1,445,6,6,563,TRUE,1
p just trying to get the bonus points and shoot whenever i can,1,1,17,3,3,21,TRUE,1
and i got the bonus and i killed that,1,1,34,9,19,1292,TRUE,1
thats bonus,1,1,30,3,13,747,TRUE,1
i couldve gotten bonus,1,1,9,3,13,116,TRUE,1
1 2 3 i got the bonus 4 5 6 7 8 9 10,1,1,372,8,8,98,TRUE,1
and i just misidentified a bonus point so im kind of screwed on that,1,1,685,4,4,87,TRUE,1
oh its so hard to focus on the bonus and control the ship,1,1,214,2,12,64,TRUE,1
bonus,1,1,26,6,6,91,TRUE,1
p stop getting shot bonus,1,1,301,4,4,173,TRUE,1
n friend ah i shouldve taken the bonus points there instead of the ammunition,1,1,681,4,4,261,TRUE,1
first bonus sign,1,1,130,1,1,229,TRUE,1
i got a bonus of 100 points,1,1,853,7,7,175,TRUE,1
p got some bonus points,1,1,19,2,12,15,TRUE,1
second time bonus,1,1,27,8,8,140,TRUE,1
bonus 2 3 4 5 5 6 7,1,1,473,8,8,322,TRUE,1
another dollar sign bonus,1,1,55,7,17,291,TRUE,1
get a bonus,1,1,44,7,7,975,TRUE,1
other way shoot shoot got a bonus,1,1,1,5,5,175,TRUE,1
going to try 1 real one side to side if i can get that bonus,1,1,300,9,9,399,TRUE,1
and why was the freaking bad person okay okay howd i miss the bonus okay,1,1,113,8,8,480,TRUE,1
trying to stay still aw no thats a bonus nice but last game i kinda shot whenever i wasnt moving too much so staying in control could be the priority since it doesnt really shoot all the time,1,1,130,9,19,189,TRUE,1
an enemy and a bonus but aw man that was really fast,1,1,130,9,19,199,TRUE,1
somehow i got four bonuses,1,1,55,1,1,550,TRUE,1
bonus i might not have been paying attention so were going the wrong way oh well,1,1,14,7,7,722,TRUE,1
money sign bonus,1,1,681,8,18,151,TRUE,1
yes bonus,1,1,908,3,3,147,TRUE,1
bonus,1,1,57,7,7,1217,TRUE,1
not a bonus,1,1,929,5,5,57,TRUE,1
oh i got the bonus,1,1,902,1,1,18,TRUE,1
i can collect the bonus,1,1,3,6,6,101,TRUE,1
bonus,1,1,404,9,19,732,TRUE,1
bonus,1,1,4,2,2,208,TRUE,1
bonus,1,1,56,6,16,456,TRUE,1
its not the bonus,1,1,46,5,5,421,TRUE,1
so if i get a bonus i wanna get missiles,1,1,420,7,7,509,TRUE,1
dollar sign ill take bonus points,1,1,14,6,16,224,TRUE,1
bonus,1,1,28,7,17,769,TRUE,1
because i wasnt paying attention to bonus,1,1,52,5,15,218,TRUE,1
i only got one out of five bonuses,1,1,6,2,2,28,TRUE,1
i think thats the first bonus,1,1,8,5,15,156,TRUE,1
bonus,1,1,55,10,20,471,TRUE,1
